YEAR,TEAM,TEAM_short,Payroll,Salary Cap,Ovr_salary_cap,Age_avg,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G,Champ,Champ_cum,Champ_cum_local,MVP,MVP_cum,All_star,All_NBA,Gs_H,TOTAL_H,AVG_H,Gs_A,AVG_A,TOTAL_overall,AVG_overall,TOTAL_H_YOY,AVG_H_YOY,AVG_A_YOY,TOTAL_overall_YOY,AVG_overall_YOY2
2002,San Antonio Spurs,Spurs,47681152,42500000,1,28.5,58,24,59,23,6.21,0.07,6.28,106.5,99.7,6.8,90,0.353,0.19,0.539,0.492,13.8,27.2,0.262,0.453,13.7,71.9,0.189,Alamodome,906390,22107,0,1,1,1,2,2,2,41,906390,22107,41,17248,1613514,19677,-0.74,-0.74,3.34,1.01,1.01
2002,Toronto Raptors,Raptors,50920631,42500000,1,29.3,42,40,40,42,-0.44,-0.27,-0.71,102.6,103.1,-0.5,88.8,0.255,0.165,0.501,0.463,13.6,31.4,0.189,0.471,14.7,70.1,0.237,Air Canada Centre,810160,19760,0,0,0,0,0,0,0,41,811135,19783,41,17200,1516344,18492,2.25,2.25,-2.33,0.07,0.07
2002,Utah Jazz,Jazz,53398621,42500000,1,29.9,44,38,44,38,0.89,0.32,1.21,105.6,104.6,1,90.3,0.381,0.132,0.529,0.472,15.4,33.5,0.291,0.484,15.9,71.7,0.286,Delta Center,766108,18686,0,0,0,0,0,1,1,41,766108,18685,41,16667,1449432,17676,-3.29,-3.29,-1.9,-2.64,-2.64
2002,Washington Wizards,Wizards,42592857,42500000,1,27.5,37,45,37,45,-1.4,-0.17,-1.58,104.8,106.4,-1.6,88.3,0.28,0.118,0.508,0.464,12.5,30.7,0.214,0.484,13,71.4,0.214,MCI Center,847634,20674,0,1,0,0,0,0,0,41,847634,20674,41,19939,1665092,20306,32.72,32.73,25.62,29.14,29.14
2003,Atlanta Hawks,Hawks,63151182,40271000,1,27.2,35,47,31,51,-3.56,-0.31,-3.87,102.3,106.1,-3.8,91,0.313,0.177,0.527,0.476,15.7,27.9,0.248,0.469,12.1,70.4,0.222,Philips Arena,528655,12894,0,1,0,0,0,0,0,41,528655,12894,41,16294,1196708,14594,4.45,4.46,-0.13,1.85,1.85
2003,Boston Celtics,Celtics,60412919,40271000,1,26.9,44,38,40,42,-0.39,-0.36,-0.75,101.2,101.6,-0.4,90.9,0.306,0.331,0.514,0.47,13.4,23.6,0.227,0.471,15.1,72.5,0.242,FleetCenter,709049,17294,0,16,16,0,0,0,0,41,709049,17293,41,17263,1416796,17278,7.47,7.47,-1.78,2.64,2.64
2003,Brooklyn Nets,Nets,55225080,40271000,1,27.3,49,33,56,26,5.22,-0.8,4.42,103.8,98.1,5.7,91.6,0.333,0.158,0.518,0.468,13.8,28.7,0.252,0.46,15.7,73.1,0.225,Continental Airlines Arena,622574,15185,0,0,0,0,0,1,1,41,622574,15184,41,16956,1317740,16070,10.35,10.35,3.37,6.55,6.55
2003,Chicago Bulls,Bulls,44531095,40271000,1,25.2,30,52,27,55,-5.13,-0.17,-5.31,100.2,105.6,-5.4,93.5,0.3,0.148,0.512,0.471,15.4,27.7,0.217,0.47,13.3,69.5,0.263,United Center,804309,19617,0,6,6,0,0,1,0,41,804303,19617,41,16268,1471244,17942,3.61,3.61,1.68,2.72,2.72
2003,Cleveland Cavaliers,Cavaliers,40271000,40271000,0,23.5,17,65,16,66,-9.62,0.04,-9.59,96.5,106.7,-10.2,94,0.298,0.133,0.491,0.444,16.4,31,0.223,0.484,13,73.2,0.252,Gund Arena,471374,11497,0,0,0,0,0,0,0,41,471374,11496,41,16087,1130944,13792,-20.93,-20.93,1.76,-9.11,-9.11
2003,Dallas Mavericks,Mavericks,55711549,40271000,1,28.1,60,22,62,20,7.78,0.12,7.9,110.7,102.3,8.4,92.5,0.257,0.239,0.543,0.498,10.9,25.4,0.213,0.473,14.8,70.9,0.221,American Airlines Center,816429,19913,0,0,0,0,0,2,1,41,816429,19912,41,17618,1538730,18765,1.7,1.7,3.34,2.46,2.46
2003,Denver Nuggets,Nuggets,49109209,40271000,1,24.1,17,65,17,65,-8.28,0.87,-7.41,92.2,101.3,-9.1,91,0.283,0.126,0.469,0.428,17.1,31.3,0.198,0.477,16.5,73.3,0.29,Pepsi Center,607813,14825,0,0,0,0,0,0,0,41,607813,14824,41,16299,1276084,15562,-4.11,-4.11,-0.59,-2.3,-2.3
2003,Detroit Pistons,Pistons,93452379,40271000,1,29,50,32,52,30,3.68,-0.71,2.97,104.1,99.9,4.2,86.8,0.322,0.237,0.523,0.473,13.3,25.9,0.248,0.461,13.9,74,0.225,The Palace of Auburn Hills,839278,20470,0,2,2,0,0,1,1,41,839278,20470,41,16053,1497402,18261,10.31,10.31,-2.22,4.43,4.43
2003,Golden State Warriors,Warriors,105595657,40271000,1,24.4,38,44,38,44,-1.13,0.54,-0.6,108.3,109.5,-1.2,94.2,0.343,0.178,0.526,0.472,13.9,35,0.267,0.482,12.2,67.9,0.22,The Arena in Oakland,634935,15486,0,3,1,0,0,0,0,41,634935,15486,41,16297,1303062,15891,7.04,7.04,0.59,3.63,3.63
2003,Houston Rockets,Rockets,53167479,40271000,1,25.9,43,39,46,36,1.48,0.42,1.89,104.3,102.6,1.7,88.8,0.316,0.196,0.522,0.474,14.8,30.3,0.243,0.462,12.6,72.4,0.209,Compaq Center,565166,13785,0,2,2,0,0,1,1,41,565166,13784,41,17919,1299782,15851,17.44,17.44,8.27,12.07,12.07
2003,Indiana Pacers,Pacers,53182559,40271000,1,25.9,48,34,51,31,3.49,-0.7,2.79,104.6,100.8,3.8,91.6,0.344,0.169,0.522,0.469,13.7,29,0.263,0.458,14.3,72.3,0.228,Conseco Fieldhouse,670461,16353,0,0,0,0,0,1,1,41,670461,16352,41,16856,1361528,16604,-2.34,-2.34,1.07,-0.64,-0.64
2003,LA Clippers,Clippers,42955777,40271000,1,25.3,27,55,29,53,-4.12,0.68,-3.45,102.3,106.8,-4.5,91.3,0.335,0.182,0.516,0.467,14.8,29.1,0.252,0.481,13.1,70.2,0.222,STAPLES Center,706471,17231,0,0,0,0,0,0,0,41,706471,17231,41,16276,1373746,16753,-4.55,-4.55,-1.77,-3.22,-3.22
